id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.21566E+17,COMFY Room/w Private BATH + TV,177073982,Cristian,,FOURTEENTH WARD,42.66109,-73.80479,Private room,55,2,3,30/11/2023,0.13,2,183,0,
8.23276E+17,Cozy Home 5 Minute Walk to Albany Medical Center,500360485,Manjano,,SIXTH WARD,42.65184,-73.77074,Entire home/apt,,7,0,,,1,0,0,
8.26302E+17,2 br apt 2 min walk to albanymed offstreet parking,484673863,Blossom Estates,,NINTH WARD,42.65613,-73.77469,Entire home/apt,,1,20,01/01/2025,0.87,3,350,5,
8.31123E+17,Boho-Chic Cape Conveniently Located,210596861,Craig,,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,233,2,86,29/12/2024,3.87,1,237,43,
8.41524E+17,Mellow Cove,462042479,Natasha,,SIXTH WARD,42.66008,-73.76977,Entire home/apt,120,3,6,09/07/2024,0.37,2,364,5,
8.41524E+17,Cozy Cove Away From Home,462042479,Natasha,,SIXTH WARD,42.65987,-73.77025,Entire home/apt,120,3,12,03/12/2023,0.65,2,356,0,
8.43481E+17,Center Square Serenity: 2-Bedroom Elegance,188679144,Elizabeth,,SIXTH WARD,42.65483,-73.76353,Entire home/apt,99,1,2,04/09/2023,0.09,8,364,0,
8.4596E+17,Modern Cottage-Perfect for Families!,268741708,Antoinette,,FIRST WARD,42.63504,-73.79833,Entire home/apt,324,2,91,10/11/2024,4.18,1,89,48,
8.46586E+17,Spacious Home Away from Home!,49372011,Philip,,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,167,3,18,24/08/2024,0.85,2,3,7,
8.4946E+17,Your luxury home away from home,1761578,Grant,,SIXTH WARD,42.65432,-73.76531,Entire home/apt,270,2,1,18/02/2024,0.09,3,267,1,
